"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","NA","present","absent","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2688","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2690","NA","NA","NA","NA","NA","NA","NA","2690","2688","2690","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","NA","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2688","2747","2751","NA","NA","NA","NA","NA","NA","NA","NA","2753","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","Not sure","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member1]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","NA","26450","NA","NA","NA","NA","NA","NA","2688","2747","2751","22428","NA","NA","3112","2826","2802","2826","3112","26450","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","12567","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","60","relative","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","Yes","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member2]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","31644","NA","NA","NA","NA","31644","NA","2688","2747","2751","29187","NA","NA","3112","2826","2802","2826","26672","37260","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","26672","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member3]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","41436","NA","NA","NA","NA","31644","NA","2688","2747","2751","38512","NA","NA","3112","2826","2802","2826","37475","41436","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","37475","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member4]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","47642","NA","NA","NA","NA","31644","NA","2688","2747","2751","44691","NA","NA","3112","2826","2802","2826","41664","47642","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","41664","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member5]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","51263","NA","NA","NA","NA","31644","NA","2688","2747","2751","49027","NA","NA","3112","2826","2802","2826","47876","51263","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","47876","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member6]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","54890","NA","NA","NA","NA","31644","NA","2688","2747","2751","52834","NA","NA","3112","2826","2802","2826","51497","54890","NA","2751","2753","NA","NA","NA","NA","2690","2688","2690","NA","51497","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","1","0","6","6","1","1","1","0","6","0","0","0","0","6","1","1","6","1","0","1","6","11","1","0","0","1","1","1","1","0","0","0","0","6","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member1]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","37260","79403","59851","64861","NA","NA","31644","NA","2688","2747","2751","77336","64861","NA","73560","73389","2802","73389","73560","79403","54939","2751","2753","59851","NA","NA","73364","2690","2688","2690","NA","75553","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","80","relative","0","0","1","0","7","7","1","1","1","0","7","0","0","0","0","7","1","1","7","1","0","1","7","12","1","0","0","1","1","1","1","0","0","0","0","7","11/04/17 13:49:20","Executes Python code","yes","","lineup_videoVIPER.osexp","C:/Users/standalone/Desktop/Today Viper","no","mono","no","24","no","black","no","yes","female","768","Yes","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Today Viper/subject-22.csv","[member2]","5","7","4","1","2","3","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","22","even","legacy","[target2]","present","absent","2753","NA","NA","NA","88004","83899","59851","64861","NA","NA","83899","NA","2688","2747","2751","80985","64861","NA","73560","73389","2802","73389","79636","88004","54939","2751","2753","59851","NA","NA","73364","2690","2688","2690","NA","79636","lineup1","no","2","no","1366"
