"_prepare","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","count_TA_sequence_setting","count_TP_sequence_setting","count_admin_check","count_check_TP","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_gender_lineup_loop","count_gender_randomization_sequence","count_identification_task","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_lineup_loop","count_lineup_procedure_loop","count_lineup_procedure_sequence","count_lineup_sequence","count_logger","count_made_identification","count_member_randomization_loop","count_member_randomization_sequence","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_target_setting","count_target_setting_loop","count_target_setting_sequence","count_time_of_exposure","count_video","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gender","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_target_setting_loop","logfile","member","member1","member2","member3","member4","member5","member6","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","target1","target2","time_TA_sequence_setting","time_TP_sequence_setting","time_admin_check","time_check_TP","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_gender_lineup_loop","time_gender_randomization_sequence","time_identification_task","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_lineup_loop","time_lineup_procedure_loop","time_lineup_procedure_sequence","time_lineup_sequence","time_logger","time_made_identification","time_member_randomization_loop","time_member_randomization_sequence","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_target_setting","time_target_setting_loop","time_target_setting_sequence","time_time_of_exposure","time_video","title","transparent_variables","trial","uniform_coordinates","width"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","NA","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","NA","NA","NA","NA","NA","NA","NA","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","NA","absent","present","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3053","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3055","NA","NA","NA","NA","NA","NA","NA","3055","3053","3055","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","NA","relative","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","NA","NA","NA","NA","NA","0","NA","NA","2","NA","0","0","NA","NA","NA","NA","0","0","0","0","NA","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","NA","NA","NA","NA","legacy","no","0","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","NA","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","NA","NA","NA","NA","NA","NA","NA","NA","3053","3113","3116","NA","NA","NA","NA","NA","NA","NA","NA","3118","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","NA","lineup1","no","NA","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member1]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","NA","68643","NA","NA","NA","NA","NA","NA","3053","3113","3116","64072","NA","NA","4348","3189","3164","3189","4348","68643","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","38189","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","60","relative","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","Yes","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member2]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","100724","94007","NA","NA","NA","NA","94007","NA","3053","3113","3116","90598","NA","NA","4348","3189","3164","3189","69636","100724","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","69636","lineup1","no","2","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","2","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member3]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","100724","126332","NA","NA","NA","NA","94007","NA","3053","3113","3116","124022","NA","NA","4348","3189","3164","3189","101773","126332","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","101773","lineup1","no","3","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","3","3","0","0","0","0","3","0","0","0","0","3","0","0","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","3","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","3","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member4]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","100724","135339","NA","NA","NA","NA","94007","NA","3053","3113","3116","132831","NA","NA","4348","3189","3164","3189","127403","135339","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","127403","lineup1","no","4","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","4","0","0","4","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","4","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","No","no","no","no","legacy","no","4","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member5]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","100724","155229","NA","NA","NA","NA","94007","NA","3053","3113","3116","152350","NA","NA","4348","3189","3164","3189","136384","155230","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","136385","lineup1","no","5","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","Not sure","no","no","no","legacy","no","5","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member6]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","NA","3118","100724","180198","NA","NA","NA","NA","94007","NA","3053","3113","3116","177364","NA","NA","4348","3189","3164","3189","156257","180198","NA","3116","3118","NA","NA","NA","NA","3055","3053","3055","NA","156257","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","0","5","9","0","0","0","0","0","0","0","0","0","0","0","5","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","female","768","Not sure","Yes","One","No","legacy","no","5","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member6]","3","1","2","4","6","5","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target2]","absent","present","NA","3118","187686","3118","100724","180198","183833","187686","195204","NA","94007","NA","3053","3113","3116","177364","NA","NA","4348","3189","3164","3189","156257","195204","180240","3116","3118","183833","191896","NA","NA","3055","3053","3055","NA","156257","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","0","1","5","5","0","0","0","0","5","0","0","0","1","5","0","0","5","0","1","0","5","10","0","1","1","0","0","0","0","0","0","0","0","5","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","male","768","Not sure","Yes","One","No","legacy","no","0","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member6]","5","2","4","7","3","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target1]","absent","present","195270","3118","187686","3118","100724","180198","183833","187686","195204","NA","94007","NA","3053","3113","195268","177364","NA","NA","4348","3189","3164","3189","156257","195270","180240","195268","195270","183833","191896","NA","NA","3055","3053","3055","NA","156257","lineup1","no","6","no","1366"
"","white","no","xpyriment","legacy","legacy","0","no","relative","1","1","1","1","6","6","1","1","1","0","6","0","0","0","1","6","1","1","6","1","1","1","6","12","1","1","1","1","1","1","1","0","0","0","0","6","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","male","768","No","no","no","no","legacy","no","0","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member1]","5","2","4","7","3","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target1]","absent","present","195270","3118","187686","3118","100724","214015","183833","187686","195204","NA","94007","NA","3053","3113","195268","211125","NA","NA","196313","195331","195306","195331","196313","214015","180240","195268","195270","183833","191896","NA","NA","3055","3053","3055","NA","197668","lineup1","no","1","no","1366"
"","white","no","xpyriment","legacy","legacy","0","60","relative","1","1","1","1","7","7","1","1","1","0","7","0","0","0","1","7","1","1","7","1","1","1","7","13","1","1","1","1","1","1","1","0","0","0","0","7","11/04/17 12:15:10","Executes Python code","yes","","lineup_videoFB.osexp","C:/Users/standalone/Desktop/Full Body Video 0411","no","mono","no","24","no","black","no","yes","male","768","Yes","no","no","no","legacy","no","1","0","C:/Users/standalone/Desktop/Full Body Video 0411/subject-17.csv","[member2]","5","2","4","7","3","1","xpyriment","Jazzy James","3.1.6","0","2","legacy","1024","2","48000","-16","experiment","17","odd","legacy","[target1]","absent","present","195270","3118","187686","3118","239255","236866","183833","187686","195204","NA","236866","NA","3053","3113","195268","234722","NA","NA","196313","195331","195306","195331","215080","239255","180240","195268","195270","183833","191896","NA","NA","3055","3053","3055","NA","215080","lineup1","no","2","no","1366"
