"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","735","757","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","30818","30818","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","NA","81625","NA","NA","NA","NA","NA","1470","73554","1470","NA","NA","1474","1474","42675","42675","42659","42735","81625","NA","NA","NA","NA","NA","42734","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","602","694","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","17671","17671","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","NA","102534","NA","NA","NA","NA","NA","1470","99394","1470","NA","NA","1474","1474","42675","42675","42659","81723","102534","NA","NA","NA","NA","NA","81722","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","433","712","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","2","0","2","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","20579","20579","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","132200","126024","NA","NA","NA","126024","NA","1470","123209","1470","NA","NA","1474","1474","42675","42675","42659","102630","132200","NA","NA","NA","NA","NA","102629","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","703","630","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","11138","11138","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","132200","145811","NA","NA","NA","126024","NA","1470","143433","1470","NA","NA","1474","1474","42675","42675","42659","132295","145811","NA","NA","NA","NA","NA","132294","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","509","629","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","4","0","4","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","21517","21517","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","132200","169379","NA","NA","NA","126024","NA","1470","167425","1470","NA","NA","1474","1474","42675","42675","42659","145907","169379","NA","NA","NA","NA","NA","145906","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","647","686","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","11855","11855","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","NA","132200","183400","NA","NA","NA","126024","NA","1470","181329","1470","NA","NA","1474","1474","42675","42675","42659","169473","183400","NA","NA","NA","NA","NA","169472","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","647","686","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Continue","yes","768","No","Yes","One","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","11855","11855","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","193699","132200","183400","188000","193699","206668","126024","NA","1470","181329","1470","NA","NA","1474","1474","42675","42675","42659","169473","206668","183433","188001","197902","NA","NA","169472","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","647","686","02/14/18 14:54:29","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 1402","no","mono","no","24","no","black","no","Click to end","yes","768","No","Yes","One","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 1402/subject-56.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","11855","11855","2","legacy","1024","2","48000","-16","experiment","56","even","legacy","193699","132200","183400","188000","193699","206668","126024","206697","1470","181329","1470","NA","NA","1474","1474","42675","42675","42659","169473","207945","183433","188001","197902","NA","NA","169472","lineup1","0","0","0","no","no","1366"
