_prepare,background,bidi,canvas_backend,clock_backend,color_backend,compensation,confidence_immediate,coordinates,count_TA_sequence_setting,count_TP_sequence_setting,count_admin_check,count_check_TA,count_check_TP,count_check_confidence_imm,count_check_identification,count_check_made_identification,count_check_multiple_identification,count_check_proceeding_identification,count_confidence_imm,count_end_of_experiment,count_experiment,count_gender_lineup_loop,count_gender_randomization_sequence,count_identification_task,count_instructions_after_multiple,count_instructions_after_proceed_identification,count_instructions_before_view,count_lineup_loop,count_lineup_procedure_loop,count_lineup_procedure_sequence,count_lineup_sequence,count_logger,count_made_identification,count_member_randomization_loop,count_member_randomization_sequence,count_multiple_identification,count_proceed_identification,count_repeat_lineup_sequence_identification,count_repeat_lineup_sequence_multiple,count_target_setting,count_target_setting_loop,count_target_setting_sequence,count_video,datetime,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gender,height,identification,identification_made,identification_multiple,identification_proceed,keyboard_backend,live_row,live_row_target_setting_loop,logfile,member,member1,member2,member3,member4,member5,member6,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,target,target1,target2,time_TA_sequence_setting,time_TP_sequence_setting,time_admin_check,time_check_TA,time_check_TP,time_check_confidence_imm,time_check_identification,time_check_made_identification,time_check_multiple_identification,time_check_proceeding_identification,time_confidence_imm,time_end_of_experiment,time_experiment,time_gender_lineup_loop,time_gender_randomization_sequence,time_identification_task,time_instructions_after_multiple,time_instructions_after_proceed_identification,time_instructions_before_view,time_lineup_loop,time_lineup_procedure_loop,time_lineup_procedure_sequence,time_lineup_sequence,time_logger,time_made_identification,time_member_randomization_loop,time_member_randomization_sequence,time_multiple_identification,time_proceed_identification,time_repeat_lineup_sequence_identification,time_repeat_lineup_sequence_multiple,time_target_setting,time_target_setting_loop,time_target_setting_sequence,time_video,title,transparent_variables,trial,uniform_coordinates,width
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,0,2,2,5,5,0,0,0,5,0,0,0,1,5,0,0,5,0,1,0,5,11,0,1,2,0,0,0,0,0,0,0,5,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,Yes,One,No,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,126197,131442,135346,150426,100662,NA,3072,3129,150499,124226,NA,NA,4578,3255,3225,3255,123008,150502,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,123008,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,6,6,1,1,1,6,0,0,0,1,6,1,1,6,1,1,1,6,13,1,1,2,1,1,1,1,0,0,0,6,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member1],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,161855,131442,135346,150426,100662,NA,3072,3129,150499,159484,NA,NA,151633,150574,150544,150574,151633,161855,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,157908,lineup1,no,1,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,7,7,1,1,1,7,0,0,0,1,7,1,1,7,1,1,1,7,14,1,1,2,1,1,1,1,0,0,0,7,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,Not sure,no,no,no,legacy,1,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member2],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,170128,131442,135346,150426,100662,NA,3072,3129,150499,168269,NA,NA,151633,150574,150544,150574,162957,170128,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,162957,lineup1,no,2,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,8,8,1,1,1,8,0,0,0,1,8,1,1,8,1,1,1,8,15,1,1,2,1,1,1,1,0,0,0,8,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,2,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member3],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,173931,131442,135346,150426,100662,NA,3072,3129,150499,172169,NA,NA,151633,150574,150544,150574,171231,173931,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,171231,lineup1,no,3,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,9,9,1,1,1,9,0,0,0,1,9,1,1,9,1,1,1,9,16,1,1,2,1,1,1,1,0,0,0,9,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,3,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member4],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,179347,131442,135346,150426,100662,NA,3072,3129,150499,177546,NA,NA,151633,150574,150544,150574,175013,179347,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,175013,lineup1,no,4,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,10,10,1,1,1,10,0,0,0,1,10,1,1,10,1,1,1,10,17,1,1,2,1,1,1,1,0,0,0,10,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,Not sure,no,no,no,legacy,4,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member5],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,185158,131442,135346,150426,100662,NA,3072,3129,150499,183162,NA,NA,151633,150574,150544,150574,180482,185158,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,180483,lineup1,no,5,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,1,2,2,11,11,1,1,1,11,0,0,0,1,11,1,1,11,1,1,1,11,18,1,1,2,1,1,1,1,0,0,0,11,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,189470,131442,135346,150426,100662,NA,3072,3129,150499,187109,NA,NA,151633,150574,150544,150574,186231,189471,126246,150499,150502,131442,139676,NA,NA,3073,3072,3073,186231,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,12,12,2,2,2,12,0,0,0,1,12,2,2,12,2,1,2,12,20,2,1,2,2,2,2,2,0,0,0,12,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,0,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member1],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,109604,205792,193508,196194,150426,100662,NA,3072,3129,150499,204017,196194,NA,201472,200401,150544,200401,201471,205793,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,202698,lineup1,no,1,no,1366
,white,no,xpyriment,legacy,legacy,0,40,relative,2,2,2,2,2,13,13,2,2,2,13,0,0,0,1,13,2,2,13,2,1,2,13,21,2,1,2,2,2,2,2,0,0,0,13,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,Yes,no,no,no,legacy,1,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member2],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,230250,223534,193508,196194,150426,223534,NA,3072,3129,150499,221477,196194,NA,201472,200401,150544,200401,206898,230250,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,206898,lineup1,no,2,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,14,14,2,2,2,14,0,0,0,1,14,2,2,14,2,1,2,14,22,2,1,2,2,2,2,2,0,0,0,14,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,2,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member3],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,230250,236581,193508,196194,150426,223534,NA,3072,3129,150499,232642,196194,NA,201472,200401,150544,200401,231355,236581,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,231355,lineup1,no,3,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,15,15,2,2,2,15,0,0,0,1,15,2,2,15,2,1,2,15,23,2,1,2,2,2,2,2,0,0,0,15,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,3,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member4],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,230250,240177,193508,196194,150426,223534,NA,3072,3129,150499,238412,196194,NA,201472,200401,150544,200401,237671,240177,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,237671,lineup1,no,4,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,16,16,2,2,2,16,0,0,0,1,16,2,2,16,2,1,2,16,24,2,1,2,2,2,2,2,0,0,0,16,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,4,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member5],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,230250,244193,193508,196194,150426,223534,NA,3072,3129,150499,242225,196194,NA,201472,200401,150544,200401,241311,244193,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,241311,lineup1,no,5,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,17,17,2,2,2,17,0,0,0,1,17,2,2,17,2,1,2,17,25,2,1,2,2,2,2,2,0,0,0,17,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,no,no,no,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,135346,150502,3137,230250,247563,193508,196194,150426,223534,NA,3072,3129,150499,245790,196194,NA,201472,200401,150544,200401,245265,247564,189508,150499,150502,193508,139676,NA,200371,3073,3072,3073,245266,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,17,17,2,2,2,17,0,0,0,1,17,2,2,17,2,1,2,17,25,2,1,2,2,2,2,2,0,0,0,17,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,Yes,One,No,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,253142,150502,3137,230250,247563,250877,253142,261794,223534,NA,3072,3129,150499,245790,196194,NA,201472,200401,150544,200401,245265,261794,247610,150499,150502,250877,254376,NA,200371,3073,3072,3073,245266,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,17,17,2,2,2,17,0,0,0,1,17,2,2,17,2,1,2,17,25,2,1,2,2,2,2,2,0,0,0,17,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,Yes,One,No,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,261849,150502,3137,230250,247563,250877,253142,271208,223534,NA,3072,3129,150499,245790,196194,NA,201472,200401,150544,200401,245265,271208,247610,150499,150502,250877,266169,NA,200371,3073,3072,3073,245266,lineup1,no,6,no,1366
,white,no,xpyriment,legacy,legacy,0,no,relative,2,2,2,2,2,17,17,2,2,2,17,0,0,0,1,17,2,2,17,2,1,2,17,25,2,1,2,2,2,2,2,0,0,0,17,02/07/2018 15:38,Executes Python code,yes,,lineup_videoFB_W.osexp,C:/Users/standalone/Desktop/Wednesday 0702/FB,no,mono,no,24,no,black,no,yes,male,768,No,Yes,One,No,legacy,5,0,C:/Users/standalone/Desktop/Wednesday 0702/FB/subject-63.csv,[member6],5,7,3,4,1,2,xpyriment,Jazzy James,3.1.6,0,2,legacy,1024,2,48000,-16,experiment,63,even,legacy,[target1],absent,present,150502,3137,261849,150502,3137,230250,247563,250877,253142,271208,223534,271271,3072,3129,150499,245790,196194,NA,201472,200401,150544,200401,245265,273277,247610,150499,150502,250877,266169,NA,200371,3073,3072,3073,245266,lineup1,no,6,no,1366
