"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","955","704","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","21383","21383","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","53697","NA","NA","NA","NA","NA","1571","49927","1571","NA","NA","1575","1575","28476","28476","28457","28544","53697","NA","NA","NA","NA","NA","28543","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","3","758","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","7570","7570","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","64752","NA","NA","NA","NA","NA","1571","61375","1571","NA","NA","1575","1575","28476","28476","28457","53805","64752","NA","NA","NA","NA","NA","53803","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","219","761","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","6229","6229","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","74215","NA","NA","NA","NA","NA","1571","71087","1571","NA","NA","1575","1575","28476","28476","28457","64857","74215","NA","NA","NA","NA","NA","64856","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","483","767","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","6694","6694","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","83386","NA","NA","NA","NA","NA","1571","81015","1571","NA","NA","1575","1575","28476","28476","28457","74321","83386","NA","NA","NA","NA","NA","74320","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","469","767","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","4","0","4","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","13579","13579","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","100211","NA","NA","NA","NA","NA","1571","97071","1571","NA","NA","1575","1575","28476","28476","28457","83492","100211","NA","NA","NA","NA","NA","83491","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","186","722","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","8923","8923","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","NA","NA","111750","NA","NA","NA","NA","NA","1571","109238","1571","NA","NA","1575","1575","28476","28476","28457","100315","111750","NA","NA","NA","NA","NA","100314","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","186","722","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","No","no","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","8923","8923","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","121764","NA","111750","121763","NA","126463","NA","NA","1571","109238","1571","NA","NA","1575","1575","28476","28476","28457","100315","126463","111787","NA","122973","NA","NA","100314","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","186","722","02/21/18 14:51:24","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Click to end","yes","768","No","No","no","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-66.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","8923","8923","2","legacy","1024","2","48000","-16","experiment","66","even","legacy","121764","NA","111750","121763","NA","126463","NA","126497","1571","109238","1571","NA","NA","1575","1575","28476","28476","28457","100315","127355","111787","NA","122973","NA","NA","100314","lineup1","0","0","0","no","no","1366"
