"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","677","767","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","2674","2674","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","64818","NA","NA","NA","NA","NA","1615","60203","1615","NA","NA","1620","1620","57462","57461","57442","57528","64818","NA","NA","NA","NA","NA","57527","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","167","759","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","11150","11150","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","81540","NA","NA","NA","NA","NA","1615","76114","1615","NA","NA","1620","1620","57462","57461","57442","64963","81541","NA","NA","NA","NA","NA","64962","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","852","579","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","2","0","2","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","13168","13168","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","99155","NA","NA","NA","NA","NA","1615","94819","1615","NA","NA","1620","1620","57462","57461","57442","81650","99155","NA","NA","NA","NA","NA","81649","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","693","561","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","6251","6251","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","107994","NA","NA","NA","NA","NA","1615","105514","1615","NA","NA","1620","1620","57462","57461","57442","99262","107994","NA","NA","NA","NA","NA","99261","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","305","767","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","4","0","4","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","17468","17468","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","128042","NA","NA","NA","NA","NA","1615","125570","1615","NA","NA","1620","1620","57462","57461","57442","108101","128043","NA","NA","NA","NA","NA","108100","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","715","767","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","9604","9604","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","NA","NA","140483","NA","NA","NA","NA","NA","1615","137754","1615","NA","NA","1620","1620","57462","57461","57442","128149","140484","NA","NA","NA","NA","NA","128148","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","715","767","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","No","no","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","9604","9604","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","148760","NA","140483","148760","NA","155801","NA","NA","1615","137754","1615","NA","NA","1620","1620","57462","57461","57442","128149","155801","140519","NA","150782","NA","NA","128148","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","715","767","02/21/18 14:39:15","Executes Python code","yes","","lineup_liveWOMEN_W.osexp","C:\Users\Laptop3\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Click to end","yes","768","No","No","no","No","legacy","5","0","5","0","C:/Users/Laptop3/Desktop/Wednesday 2102/subject-62.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","9604","9604","2","legacy","1024","2","48000","-16","experiment","62","even","legacy","148760","NA","140483","148760","NA","155801","NA","155837","1615","137754","1615","NA","NA","1620","1620","57462","57461","57442","128149","158296","140519","NA","150782","NA","NA","128148","lineup1","0","0","0","no","no","1366"
