"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","860","509","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","13851","13851","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","NA","73950","NA","NA","NA","NA","NA","1610","70343","1611","NA","NA","1615","1615","56397","56397","56379","56492","73950","NA","NA","NA","NA","NA","56491","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","333","576","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","7452","7452","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","NA","85056","NA","NA","NA","NA","NA","1610","81536","1611","NA","NA","1615","1615","56397","56397","56379","74083","85056","NA","NA","NA","NA","NA","74082","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","316","540","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","5875","5875","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","NA","100991","NA","NA","NA","NA","NA","1610","91064","1611","NA","NA","1615","1615","56397","56397","56379","85189","100991","NA","NA","NA","NA","NA","85188","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","20","relative","undefined","undefined","0","3","3","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","320","561","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","3","0","3","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","1783","1783","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","114385","108016","NA","NA","NA","108016","NA","1610","102903","1611","NA","NA","1615","1615","56397","56397","56379","101120","114385","NA","NA","NA","NA","NA","101119","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","542","532","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","4","0","4","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","8044","8044","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","114385","125292","NA","NA","NA","108016","NA","1610","122559","1611","NA","NA","1615","1615","56397","56397","56379","114515","125292","NA","NA","NA","NA","NA","114514","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","50","relative","undefined","undefined","0","5","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","202","633","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","5","0","5","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","6401","6401","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","139827","135336","NA","NA","NA","135336","NA","1610","131832","1611","NA","NA","1615","1615","56397","56397","56379","125430","139827","NA","NA","NA","NA","NA","125429","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","681","605","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","0","0","0","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","11015","11015","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","139827","173532","146261","150246","NA","135336","NA","1610","170975","1611","150246","NA","1615","1615","159863","159863","56379","159960","173532","139860","146261","NA","NA","159845","159959","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","254","637","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","1","0","1","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","8687","8687","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","139827","185232","146261","150246","NA","135336","NA","1610","182359","1611","150246","NA","1615","1615","159863","159863","56379","173672","185232","139860","146261","NA","NA","159845","173671","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","42","690","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","2","0","2","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","6819","6819","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","139827","195075","146261","150246","NA","135336","NA","1610","192183","1611","150246","NA","1615","1615","159863","159863","56379","185363","195075","139860","146261","NA","NA","159845","185362","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","9","9","1","1","1","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","265","565","02/21/18 15:20:48","Executes Python code","yes","","lineup_liveMEN_W.osexp","C:\Users\Laptop10\Desktop\Wednesday 2102","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","3","0","3","0","C:/Users/Laptop10/Desktop/Wednesday 2102/subject-64.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","5001","5001","2","legacy","1024","2","48000","-16","experiment","64","even","legacy","NA","139827","203088","146261","150246","NA","135336","NA","1610","200207","1611","150246","NA","1615","1615","159863","159863","56379","195206","203088","139860","146261","NA","NA","159845","195206","lineup1","0","0","0","no","no","1366"
